identifier,author,title,year_published,pre_1923,1923-1963_copyright_not_renewed,in_loebolus,notes,urls
L352,Pliny,Natural History II: Books 3-7,1961,false,true,true,"",http://www.archive.org/details/naturalhistory02plinuoft
L353,Pliny,Natural History III: Books 8-11,1940,false,true,true,"",http://www.archive.org/details/plinynaturalhist005560mbp
L354,Nonnos,Volume II: Books 16-35,,,"",true,"",""
L355,Livy,Livy VI: Books 23-25,1940,false,true,true,New title: History of Rome VI: Books 23-25,http://www.archive.org/details/livywithenglisht06livyuoft
L356,Nonnos,Volume III: Books 36-48,,,"",true,"",""
L357,Dionysius of Halicarnassus,Roman Antiquities III: Books 5-6.48,,,"",false,"",""
L358,Dio Chrysostom,Dio Chrysostom III: Discourses 31-36,1940,false,true,true,New title: Volume III: Discourses 31-36,http://www.archive.org/details/diochrysostomwit03diocuoft
L359,"",Remains of Old Latin IV: Archaic Inscriptions,,,"",false,"",""
L360,"",Greek Literary Papyri I,1942,false,true,true,New title: Papyri III: Poetry,http://www.archive.org/details/greekliterarypap01pageuoft
L361,Columella,On Agriculture I: Books 1-4,,,"",false,"",""
L362,"",Greek Mathematical Works II: From Aristarchus to Pappus,,,"",false,"",""
L363,Philo,Volume IX: Every Good Man is Free. On the Contemplative Life. On the Eternity of the World. Against Flaccus. Apology for the Jews. On Providence,,,"",true,"",""
L364,Dionysius of Halicarnassus,Roman Antiquities IV: Books 6.49-7,,,"",false,"",""
L365,Josephus,Josephus VII: Jewish Antiquities Books 12-14,1957,false,true,true,New title: Volume IX: Jewish Antiquities Books 12-13,http://www.archive.org/details/josephuswithengl07joseuoft
L366,Aristotle,Volume XIII: Generation of Animals,,,"",false,"",""
L367,Livy,Livy VII: Books 26-27,1943,false,true,true,New title: History of Rome VII: Books 26-27,http://www.archive.org/details/livywithenglisht07livyuoft
L368,Quintus Curtius,History of Alexander I: Books 1-5,,,"",false,"",""
L369,Quintus Curtius,History of Alexander II: Books 6-10,,,"",false,"",""
L370,Pliny,Natural History IV: Books 12-16,1960,false,true,true,"",http://www.archive.org/details/naturalhistory04plinuoft
L371,Pliny,Natural History V: Books 17-19,1961,false,true,true,"",http://www.archive.org/details/naturalhistory05plinuoft
L372,Dionysius of Halicarnassus,Roman Antiquities V: Books 8-9.24,,,"",false,"",""
L373,Isocrates,Isocrates III: Evagoras. Helen. Busiris. Plataicus. Concerning the Team of Horses. Trapeziticus. Against Callimachus. Aegineticus. Against Lochites. Against Euthynus. Letters,1945,false,true,true,New title: Volume III: Evagoras. Helen. Busiris. Plataicus. Concerning the Team of Horses. Trapeziticus. Against Callimachus. Aegineticus. Against Lochites. Against Euthynus. Letters,http://www.archive.org/details/isocrateswitheng03isocuoft
L374,Demosthenes,Demosthenes VII: Funeral Speech (60). Erotic Essay (61). Exordia. Letters,1949,false,true,true,New title: Volume VII: Funeral Speech (60). Erotic Essay (61). Exordia. Letters,http://www.archive.org/details/funeralspeechero00demouoft
L375,Diodorus Siculus,Library of History IV: Books 9-12.40,,,"",false,"",""
L376,Dio Chrysostom,Dio Chrysostom IV: Discourses 37-60,1946,false,true,true,New title: Volume IV: Discourses 37-60,http://www.archive.org/details/diochrysostomwit04diocuoft
L377,Diodorus Siculus,Library of History IX: Books 18-19.65,,,"",false,"",""
L378,Dionysius of Halicarnassus,Roman Antiquities VI: Books 9.25-10,,,"",false,"",""
L379,Philo,Volume X: On the Embassy to Gaius. General Indexes,,,"",true,"",""
L380,Philo,Volume Supplement I: Questions and Answers on Genesis,,,"",true,"",""
L381,Livy,Livy VIII: Books 28-30,1949,false,true,true,New title: History of Rome VIII: Books 28-30,http://www.archive.org/details/livywithenglisht08livyuoft
L382,Sextus Empiricus,Volume IV: Against the Professors,,,"",false,"",""
L383,Alciphron,The Letters,,,"",false,"",""
L384,Diodorus Siculus,Library of History V: Books 12.41-13,,,"",false,"",""
L385,Dio Chrysostom,Dio Chrysostom V: Discourses 61-80. Fragments. Letters,1951,false,true,true,New title: Volume V: Discourses 61-80. Fragments. Letters,http://www.archive.org/details/diochrysostomwit05diocuoft
L386,Cicero,Volume II: On Invention. The Best Kind of Orator. Topics.,,,"",false,"",""
L387,Prudentius,"Prudentius I: Liber Cathemerinon. Apotheosis. Hamartingenia. Psychomachia. Contra Orationem Symmachi, Liber I",1949,false,true,true,New title: Volume I: Preface. Daily Round. Divinity of Christ. Origin of Sin. Fight for Mansoul. Against Symmachus 1,http://www.archive.org/details/prudentiuswithen01pruduoft
L388,Dionysius of Halicarnassus,Roman Antiquities VII: Book 11. Fragments of Books 12-20,,,"",false,"",""
L389,Diodorus Siculus,Library of History VII: Books 15.20-16.65,,,"",false,"",""
L390,Diodorus Siculus,Library of History X: Books 19.66-20,,,"",false,"",""
L391,Aristotle,Volume II: Posterior Analytics. Topica,,,"",false,"",""
L392,Pliny,Natural History VI: Books 20-23,1951,false,true,true,"",http://www.archive.org/details/plinynaturalhist001816mbp
